Last Update,Coin,Ask L1 Price,Ask L2 Price,Ask L3 Price,Ask L4 Price,Ask L5 Price,Ask L6 Price,Ask L7 Price,Ask L8 Price,Ask L9 Price,Ask L10 Price,Ask L1 Size,Ask L2 Size,Ask L3 Size,Ask L4 Size,Ask L5 Size,Ask L6 Size,Ask L7 Size,Ask L8 Size,Ask L9 Size,Ask L10 Size,Ask L1 Cumulative BTC,Ask L2 Cumulative BTC,Ask L3 Cumulative BTC,Ask L4 Cumulative BTC,Ask L5 Cumulative BTC,Ask L6 Cumulative BTC,Ask L7 Cumulative BTC,Ask L8 Cumulative BTC,Ask L9 Cumulative BTC,Ask L10 Cumulative BTC,Bid L1 Price,Bid L2 Price,Bid L3 Price,Bid L4 Price,Bid L5 Price,Bid L6 Price,Bid L7 Price,Bid L8 Price,Bid L9 Price,Bid L10 Price,Bid L1 Size,Bid L2 Size,Bid L3 Size,Bid L4 Size,Bid L5 Size,Bid L6 Size,Bid L7 Size,Bid L8 Size,Bid L9 Size,Bid L10 Size,Bid L1 Cumulative BTC,Bid L2 Cumulative BTC,Bid L3 Cumulative BTC,Bid L4 Cumulative BTC,Bid L5 Cumulative BTC,Bid L6 Cumulative BTC,Bid L7 Cumulative BTC,Bid L8 Cumulative BTC,Bid L9 Cumulative BTC,Bid L10 Cumulative BTC,Mark Price,Oracle Price,Funding Rate,Open Interest,24h Volume,Trade Side,Trade Price,Trade Size
"3/3/2025, 5:49:10 PM",BTCUSDT,92989.95000000,93066.68000000,93196.22000000,93327.93000000,,,,,,,0.86968000,0.00374000,0.00107000,0.00100000,,,,,,,0.8697,0.8734,0.8745,0.8755,,,,,,,92989.94000000,92949.01000000,83690.00000000,74392.00000000,,,,,,,5.65798000,0.00000000,0.00061000,0.00000000,,,,,,,5.6580,5.6580,5.6586,5.6586,,,,,,,,,,,,,,
"3/3/2025, 5:49:10 PM",BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sell (Ask),92989.94000000,0.15415000
"3/3/2025, 5:49:10 PM",BTCUSDT,92989.95000000,92992.24000000,92992.91000000,92993.67000000,92995.70000000,93021.75000000,93064.36000000,,,,1.71480000,0.00069000,0.00012000,0.00000000,0.00000000,0.77422000,0.05399000,,,,1.7148,1.7155,1.7156,1.7156,1.7156,2.4898,2.5438,,,,92989.94000000,92981.88000000,92980.37000000,92972.71000000,92957.74000000,92952.86000000,92938.03000000,92926.76000000,33000.00000000,,3.08781000,0.02150000,0.00000000,0.00000000,0.05372000,0.01435000,0.00000000,0.03937000,3.11136000,,3.0878,3.1093,3.1093,3.1093,3.1630,3.1774,3.1774,3.2168,6.3281,,,,,,,,,
"3/3/2025, 5:49:10 PM",BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),92989.95000000,0.00007000
"3/3/2025, 5:49:10 PM",BTCUSDT,92989.95000000,92989.97000000,92989.98000000,92989.99000000,92992.24000000,92992.91000000,92997.60000000,93011.16000000,93015.43000000,93032.97000000,1.71486000,0.00041000,0.00024000,0.03228000,0.00069000,0.00000000,0.00000000,0.00000000,0.00693000,0.16276000,1.7149,1.7153,1.7155,1.7478,1.7485,1.7485,1.7485,1.7485,1.7554,1.9182,92986.16000000,92981.88000000,92978.53000000,92973.77000000,92958.20000000,92950.87000000,92923.31000000,92852.75000000,92826.09000000,44974.00000000,0.87768000,0.00000000,0.26101000,0.00000000,0.00000000,0.05430000,0.00000000,0.00000000,0.00400000,0.00000000,0.8777,0.8777,1.1387,1.1387,1.1387,1.1930,1.1930,1.1930,1.1970,1.1970,,,,,,,,
"3/3/2025, 5:49:10 PM",BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),92989.95000000,0.00030000
"3/3/2025, 5:49:10 PM",BTCUSDT,92989.95000000,92989.96000000,92989.97000000,92990.00000000,92992.24000000,92992.62000000,93015.38000000,93019.66000000,93034.66000000,93040.48000000,1.71468000,0.00042000,0.00027000,0.03488000,0.00057000,0.00007000,0.00986000,0.73239000,0.02429000,0.06739000,1.7147,1.7151,1.7154,1.7503,1.7508,1.7509,1.7608,2.4931,2.5174,2.5848,92989.94000000,92975.24000000,92952.81000000,92942.83000000,92800.07000000,92800.06000000,92640.01000000,83690.00000000,60000.00000000,,3.08644000,0.00107000,1.61164000,0.00000000,0.00000000,0.99245000,0.00000000,0.00061000,62.80538000,,3.0864,3.0875,4.6991,4.6991,4.6991,5.6916,5.6916,5.6922,68.4976,,,,,,,,,
"3/3/2025, 5:49:10 PM",BTCUSDT,92991.72000000,92992.62000000,92994.18000000,93015.22000000,93036.19000000,93057.23000000,93065.83000000,93094.71000000,93146.03000000,93192.06000000,0.00007000,0.00000000,0.70992000,0.00000000,0.77410000,0.00573000,0.00000000,0.00000000,0.01922000,0.00409000,0.0001,0.0001,0.7100,0.7100,1.4841,1.4898,1.4898,1.4898,1.5090,1.5131,92989.94000000,92989.79000000,92989.06000000,92985.56000000,92985.33000000,92984.55000000,92973.84000000,92967.16000000,92942.85000000,92883.23000000,2.80434000,0.16376000,0.00320000,0.09674000,0.04335000,0.02334000,0.00075000,0.00000000,0.00000000,0.00000000,2.8043,2.9681,2.9713,3.0680,3.1114,3.1347,3.1355,3.1355,3.1355,3.1355,,,,,,,,
"3/3/2025, 5:49:10 PM",BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sell (Ask),92989.94000000,0.00178000
"3/3/2025, 5:49:10 PM",BTCUSDT,92989.95000000,92989.99000000,92990.90000000,92991.02000000,92991.72000000,92991.99000000,92992.00000000,92993.99000000,92994.00000000,92994.17000000,2.31323000,0.24104000,0.00018000,0.00012000,0.00012000,0.00012000,0.03476000,0.00000000,0.03470000,0.00012000,2.3132,2.5543,2.5544,2.5546,2.5547,2.5548,2.5896,2.5896,2.6243,2.6244,92989.94000000,92989.93000000,92986.16000000,92985.33000000,92962.42000000,92865.20000000,92826.09000000,92816.87000000,92710.98000000,,2.80256000,0.37097000,0.29268000,0.00006000,0.00000000,0.00007000,0.00000000,0.00400000,0.00010000,,2.8026,3.1735,3.4662,3.4663,3.4663,3.4663,3.4663,3.4703,3.4704,,,,,,,,,
"3/3/2025, 5:49:10 PM",BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sell (Ask),92989.94000000,0.00130000
"3/3/2025, 5:49:11 PM",BTCUSDT,92989.95000000,92989.97000000,92989.98000000,92989.99000000,92990.00000000,92990.01000000,92991.79000000,92991.80000000,92991.99000000,92992.00000000,3.89804000,0.00027000,0.18007000,0.00012000,0.03488000,0.00019000,0.00000000,0.00018000,0.00000000,0.03476000,3.8980,3.8983,4.0784,4.0785,4.1134,4.1136,4.1136,4.1138,4.1138,4.1485,92989.94000000,92989.93000000,92989.80000000,92989.79000000,92989.07000000,92989.06000000,92989.03000000,92988.01000000,92988.00000000,92986.17000000,0.02673000,0.00042000,0.00012000,0.00012000,0.00012000,0.00012000,0.00018000,0.00024000,0.03488000,0.00012000,0.0267,0.0272,0.0273,0.0274,0.0275,0.0276,0.0278,0.0280,0.0629,0.0630,,,,,,,,
